incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
815591737,C17040400,8/14/2017 15:36,"LARCENY, S/L","LARCENY, S/L",,17600 Block 140 AV SE,,RENTON,WA,98058,,47.4448854,-122.1541849,8/17/2017 5:30,9/14/2017 5:32,POINT (-122.1541849 47.4448854),15,Monday,Theft
815510953,C17040257,8/14/2017 15:45,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,3000 Block S 154 ST,,SEATAC,WA,98188,,47.4651718,-122.2937458,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.2937458 47.4651718),15,Monday,Property Crime
815510952,C17040256,8/14/2017 16:07,TRESPASS,TRESPASS,,1200 Block N 205 ST,,SHORELINE,WA,98133,,47.7777935,-122.3419365,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3419365 47.7777935),16,Monday,Property Crime
815510951,C17040274,8/14/2017 17:00,"THEFT, AUTO","THEFT, AUTO",,100 Block SW 148,,BURIEN,WA,98166,,47.4699978,-122.3347475,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3347475 47.4699978),17,Monday,Theft of Vehicle
815591735,C17702261,8/14/2017 17:00,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,13500 Block AMBAUM BLVD SW,,BURIEN,WA,98146,,47.4819884,-122.3483749,8/17/2017 5:30,9/15/2017 5:32,POINT (-122.3483749 47.4819884),17,Monday,Property Crime
815670888,C17040507,8/14/2017 17:00,"THEFT, AUTO","THEFT, AUTO",,26200 Block 78 AV S,,KENT,WA,98032,,47.3680287,-122.2354789,8/18/2017 5:30,9/14/2017 5:32,POINT (-122.2354789 47.3680287),17,Monday,Theft of Vehicle
815428222,C17040264,8/14/2017 17:15,SUSPICIOUS PERSON,SUSPICIOUS PERSON,,8200 Block E MARGINAL WAY S,,TUKWILA,WA,98108,,47.5290289,-122.3042323,8/15/2017 5:30,9/13/2017 5:32,POINT (-122.3042323 47.5290289),17,Monday,Other
815510950,C17040422,8/14/2017 17:15,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,,12300 Block AMBAUM BLVD SW,,BURIEN,WA,98146,,47.4929343,-122.3495738,8/16/2017 5:37,9/14/2017 5:32,POINT (-122.3495738 47.4929343),17,Monday,Other
815510949,C17040287,8/14/2017 17:40,"FRAUD, ALL OTHER","FRAUD, ALL OTHER",,17500 Block AURORA AV N,,SHORELINE,WA,98133,,47.7562731,-122.3450397,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3450397 47.7562731),17,Monday,Property Crime
815510948,C17040269,8/14/2017 17:50,TRESPASS,TRESPASS,,17500 Block AURORA AV N,,SHORELINE,WA,98133,,47.7562731,-122.3450397,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3450397 47.7562731),17,Monday,Property Crime
815510946,C17040275,8/14/2017 18:27,TRESPASS,TRESPASS,,300 Block SW 148 ST,,BURIEN,WA,98166,,47.4703956,-122.3389096,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3389096 47.4703956),18,Monday,Property Crime
815428219,C17702243,8/14/2017 18:30,IDENTITY THEFT,IDENTITY THEFT,,18500 Block SE 440TH ST,,ENUMCLAW,WA,98022,,47.2065421,-122.0308482,8/15/2017 5:30,9/13/2017 5:32,POINT (-122.0308482 47.2065421),18,Monday,Property Crime
816020868,C17040369,8/14/2017 18:30,"THEFT, AUTO","THEFT, AUTO",,12300 Block NE WOODINVILLE DR,,WOODINVILLE,WA,98072,,47.7566417,-122.1742391,8/22/2017 5:30,9/14/2017 5:32,POINT (-122.1742391 47.7566417),18,Monday,Theft of Vehicle
815510945,C17040303,8/14/2017 19:40,"ASSAULT, CUTTING","ASSAULT, CUTTING",,9600 Block 16 AV SW,,SEATTLE,WA,98106,,47.5172281,-122.3549214,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3549214 47.5172281),19,Monday,Assault
815510943,C17040304,8/14/2017 19:53,"FRAUD, ALL OTHER","FRAUD, ALL OTHER",,400 Block SW 156 ST,,BURIEN,WA,98166,,47.463192,-122.3394606,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3394606 47.463192),19,Monday,Property Crime
815591734,C17040306,8/14/2017 20:00,"ASSAULT, SIMPLE","ASSAULT, SIMPLE",,18800 Block SE 269 ST,,COVINGTON,WA,98042,,47.3608164,-122.0905933,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.0905933 47.3608164),20,Monday,Assault
